codice_iop;conferente;data_creazione;tipologia_infrastruttura;nome_infrastruttura;tipologia_opera;nome_opera;anno_entrata_esercizio;ellissoide;sistema_di_riferimento;coordinate_geografiche;regione;provincia;comune;ente_concedente;concessionario;ente_vigilante;codice_cup
FEAI0FTMPNRCD89VID;Trentino Trasporti Spa;30/05/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul torrente Avisio - progr. km 7+415 FTM;1964;WGS84;EPSG:4326;POINT (11.110282109414673 46.134719541395484);Trentino Alto Adige;Trento;Trento;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRCQXQXSD;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Viadotto sul torrente Rabbies - progr. km 54+937 FTM;1961;WGS84;EPSG:4326;POINT (10.915424952388163 46.35795286271723);Trentino Alto Adige;Trento;Malé;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRDRGBPJH;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Ponte ""Mostizzolo"" sul torrente Noce - progr. km 45+631 FTM";1961;WGS84;EPSG:4326;POINT (11.012886212571848 46.392424807705936);Trentino Alto Adige;Trento;Cles;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNREHJUYNC;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Ponte ""Crescino"" sul torrente Noce - progr. km 24+159 FTM";1964;WGS84;EPSG:4326;POINT (11.060450692880373 46.24318054111385);Trentino Alto Adige;Trento;Ton;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNREHKMVAM;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul torrente Ribos - progr. km 39+519 FTM;1964;WGS84;EPSG:4326;POINT (11.05195944689339 46.35039550875331);Trentino Alto Adige;Trento;Ville d'Anaunia;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNREPXVVSQ;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Mezzana"" - progr. km 65+448 FTM";2016;WGS84;EPSG:4326;POINT (10.810755179034661 46.31470820610191);Trentino Alto Adige;Trento;Mezzana;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRFXZQRNN;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Daolasa"" sul torrente Noce - progr. km 63+058 FTM";2003;WGS84;EPSG:4326;POINT (10.841530671746305 46.32075473621877);Trentino Alto Adige;Trento;Commezzadura;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRI4DBGON;Trentino Trasporti Spa;13/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;CAVALCAVIA;Cavalcaferrovia di SS42 - progr. km 61+522 FTM ; ;WGS84;EPSG:4326;POINT (10.858343839645388 46.32387131670677);Trentino Alto Adige;Trento;Commezzadura;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRIZPWOVX;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Mestriago - Piano"" - progr. km 63+980 FTM";2003;WGS84;EPSG:4326;POINT (10.82848982131922 46.317909393497864);Trentino Alto Adige;Trento;Commezzadura;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRLBTA0SY;Trentino Trasporti Spa;13/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponticello sul rio Rotian - progr. Km 61+183 FTM; ;WGS84;EPSG:4326;POINT (10.861288905143738 46.32596632438317);Trentino Alto Adige;Trento;Dimaro Folgarida;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRM5EJOUK;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Ponte ""Sabino"" sul torrente Noce - progr. km 27+296 FTM";1964;WGS84;EPSG:4326;POINT (11.064243757971669 46.26803208613744);Trentino Alto Adige;Trento;Denno;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRMA9R3ZU;Trentino Trasporti Spa;19/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul torrente Noce tra le staz. di Mezzocorona Borgata e Mezzolombardo - progr. km 18+476 FTM;1964;WGS84;EPSG:4326;POINT (11.1084657334689 46.21265907770197);Trentino Alto Adige;Trento;Mezzocorona;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRMDVPAAF;Trentino Trasporti Spa;13/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di strada locale - progr. km 56+313 FTM; ;WGS84;EPSG:4326;POINT (10.913483266831264 46.347596143399436);Trentino Alto Adige;Trento;Malé;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRMFPE9J4;Trentino Trasporti Spa;13/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di strada comunale a Mezzocorona - progr. km 18+365 FTM; ;WGS84;EPSG:4326;POINT (11.109514970435091 46.21280185958099);Trentino Alto Adige;Trento;Mezzocorona;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRN3EYGNL;Trentino Trasporti Spa;13/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponticello sul rio Secco di Dercolo - progr. km 24+945 FTM ; ;WGS84;EPSG:4326;POINT (11.058215237901885 46.249227550681894);Trentino Alto Adige;Trento;Campodenno;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRROOHAOE;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul rio Copai - progr. km 65+808 FTM;2003;WGS84;EPSG:4326;POINT (10.805776686128537 46.313932169935555);Trentino Alto Adige;Trento;Mezzana;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRRXMK8OR;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Dimaro 1"" sul torrente Noce - progr. km 60+835 FTM ";2003;WGS84;EPSG:4326;POINT (10.864806405038456 46.32815637988843);Trentino Alto Adige;Trento;Commezzadura;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRRXY1IJO;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul rio di Tuazen - progr. km 26+365 FTM ; ;WGS84;EPSG:4326;POINT (11.058158932463531 46.26168900395216);Trentino Alto Adige;Trento;Denno;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRSZRPRDM;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di SP206-via Marilleva a Mezzana - progr. km 65+609 FTM ;2003;WGS84;EPSG:4326;POINT (10.808485966774404 46.31394328565769);Trentino Alto Adige;Trento;Mezzana;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRTJ2YUAV;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul rio Lores - progr. km 65+843 FTM;2003;WGS84;EPSG:4326;POINT (10.805293706068431 46.31394699089385);Trentino Alto Adige;Trento;Mezzana;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRTPM935I;Trentino Trasporti Spa;12/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di via G. Ruatti a Trento - progr. km 07+231 FTM ; ;WGS84;EPSG:4326;POINT (11.110463622038484 46.133673917467355);Trentino Alto Adige;Trento;Trento;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRUVJQWEU;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di via Alcide de Gasperi a Malè - progr. km 55+571 FTM ; ;WGS84;EPSG:4326;POINT (10.917597551001498 46.35293554954071);Trentino Alto Adige;Trento;Malé;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRV0RNH4Z;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di via degli Alpini a Taio - progr. km 34+599 FTM ; ;WGS84;EPSG:4326;POINT (11.06863052288839 46.32126154220711);Trentino Alto Adige;Trento;Predaia;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento;
FEAI0FTMPNRVBKM9P7;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Dimaro 2"" sul torrente Noce - progr. km 61+259 FTM";2003;WGS84;EPSG:4326;POINT (10.860729822171301 46.32553739421348);Trentino Alto Adige;Trento;Commezzadura;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRVE9HDXL;Trentino Trasporti Spa;12/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOVIA;Sovrappasso alla via di Centa a Trento - progr. km 00+252 FTM ; ;WGS84;EPSG:4326;POINT (11.121429740700181 46.07631767101017);Trentino Alto Adige;Trento;Trento;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRXBWBS0C;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Ponte ""Rocchetta"" sul torrente Noce - progr. km 22+506 FTM";1964;WGS84;EPSG:4326;POINT (11.069501141297314 46.23096948591096);Trentino Alto Adige;Trento;Mezzolombardo;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRXBYHEEA;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul rio Valle - progr. km 35+033 FTM;1964;WGS84;EPSG:4326;POINT (11.066422518282836 46.3248182013481);Trentino Alto Adige;Trento;Predaia;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRXFZG10J;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;"Viadotto ""Marilleva 1"" - progr. km 65+159 FTM";2003;WGS84;EPSG:4326;POINT (10.814434464693004 46.31617544035114);Trentino Alto Adige;Trento;Mezzana;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRXTUZYHD;Trentino Trasporti Spa;20/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sul rio Pongaiola - progr km 27+652 FTM;1964;WGS84;EPSG:4326;POINT (11.06397018360135 46.2710468880062);Trentino Alto Adige;Trento;Ton;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRZ9JSTSH;Trentino Trasporti Spa;21/11/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;SOTTOPASSO;Sottopasso di SP10 a Tassullo - progr. km 38+182 FTM ; ;WGS84;EPSG:4326;POINT (11.052834951675102 46.34008860811166);Trentino Alto Adige;Trento;Ville d'Anaunia;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRZJJEVMQ;Trentino Trasporti Spa;17/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;PONTE;Ponte sulla fossa di Caldaro - progr. km 15+139 FTM;1964;WGS84;EPSG:4326;POINT (11.125930359068565 46.19603658358227);Trentino Alto Adige;Trento;San Michele all'Adige;Provincia Autonoma di Trento;Trentino trasporti S.p.A.;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAI0FTMPNRZYRTHIU;Trentino Trasporti Spa;18/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;Ferrovia Trento-Malè-Mezzana;CAVALCAVIA;Cavalcaferrovia per attraversamento linea RFI Verona-Brennero - progr. km 15+487 FTM ;1964;WGS84;EPSG:4326;POINT (11.12265808004366 46.19812100682761);Trentino Alto Adige;Trento;San Michele all'Adige;Provincia Autonoma di Trento;Trentino trasporti S.p.A. ;Servizio Motorizzazione Civile della Provincia Autonoma di Trento; 
FEAIASSIPNRZB0F5ZS;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;v_d'Assisi;CAVALCAVIA;93+604; ;WGS84;EPSG:4326;POINT (16.560466 38.923682);Calabria;Catanzaro;Catanzaro;Comune di Catanzaro ;Comune di Catanzaro ;Comune di Catanzaro ; 
FEAICSCZPNR0BZ93KS;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;87+918; ;WGS84;EPSG:4326;POINT (16.554003 38.962204);Calabria;Catanzaro;Catanzaro;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR0P8RNPT;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;SOTTOPASSO;21+832; ;WGS84;EPSG:4326;POINT (16.32775 39.189524);Calabria;Cosenza;Santo Stefano di Rogliano;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR0UWOBH2;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;SOTTOPASSO;11+539; ;WGS84;EPSG:4326;POINT (16.328336 39.236894);Calabria;Cosenza;Piane Crati;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR25XQENV;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;4+495; ;WGS84;EPSG:4326;POINT (16.296404 39.278623);Calabria;Cosenza;Casali del Manco;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR2UKW9EW;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;CAVALCAVIA;24+180; ;WGS84;EPSG:4326;POINT (16.317082 39.174709);Calabria;Cosenza;Rogliano;Comune di Rogliano ;Comune di Rogliano ;Comune di Rogliano ; 
FEAICSCZPNR2XZ6U5M;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;79+823; ;WGS84;EPSG:4326;POINT (16.500729 39.004965);Calabria;Catanzaro;Cicala;Regione Calabria ;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR5KK0ZHS;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;87+490; ;WGS84;EPSG:4326;POINT (16.550241 38.96486);Calabria;Catanzaro;Gimigliano;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR5OFCFXQ;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;Viadotto Sant'Andrea ; ;WGS84;EPSG:4326;POINT (16.388584 39.081124);Calabria;Catanzaro;Soveria Mannelli;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR5ZKWQLD;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;5+784; ;WGS84;EPSG:4326;POINT (16.309815 39.273693);Calabria;Cosenza;Casali del Manco;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR6IOV39A;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;5+930; ;WGS84;EPSG:4326;POINT (16.311201 39.273171);Calabria;Cosenza;Casali del Manco;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR6KHOHMU;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;87+715; ;WGS84;EPSG:4326;POINT (16.552264 38.963689);Calabria;Catanzaro;Catanzaro;Regione Calabria ;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR7L9P8IE;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;9+219; ;WGS84;EPSG:4326;POINT (16.32537 39.253314);Calabria;Cosenza;Pietrafitta;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR86DPRJ9;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;5+185; ;WGS84;EPSG:4326;POINT (16.300572 39.277619);Calabria;Cosenza;Casali del Manco;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNR8ABER8A;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;CAVALCAVIA;12+704; ;WGS84;EPSG:4326;POINT (16.317554 39.239105);Calabria;Cosenza;Piane Crati;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNRACOLUKW;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;SOTTOVIA;5+823; ;WGS84;EPSG:4326;POINT (16.310065 39.273597);Calabria;Cosenza;Casali del Manco;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNRAEDHITX;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;0+972; ;WGS84;EPSG:4326;POINT (16.264705 39.289305);Calabria;Cosenza;Cosenza;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNRAKKEBOQ;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;15+378; ;WGS84;EPSG:4326;POINT (16.325125 39.222455);Calabria;Cosenza;Figline Vegliaturo;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNRBIZNDPS;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;95+142; ;WGS84;EPSG:4326;POINT (16.568009 38.923104);Calabria;Catanzaro;Catanzaro;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
FEAICSCZPNRBSWFBDT;Ferrovie della Calabria;07/06/2024;ALTRA_INFRASTRUTTURA_FERROVIARIA;CS-CZ;PONTE;0+805; ;WGS84;EPSG:4326;POINT (16.263942 39.290466);Calabria;Cosenza;Cosenza;Regione Calabria;Ferrovie della Calabria S.r.l.;Ferrovie della Calabria S.r.l.; 
