source_id;event_id;source_role;source_type;source_title;source_url;publication_date;access_date;language;notes
SRC0011;B16.10.01;Scientific;Journal Paper;Bridge collapses in Italy across the 21st century: survey and statistical analysis;https://doi.org/10.1080/15732479.2025.2483500;2025-01-01;2026-05-06;EN;Peer-reviewed paper including Morandi Bridge case
SRC0012;B18.08.02;Official/Technical;MIT;Grave incidente stradale sul raccordo autostradale Bologna Casalecchio;https://www.interno.gov.it/it/notizie/grave-incidente-stradale-sul-raccordo-autostradale-bologna-casalecchio;2018-08-06;2026-05-06;IT;Official institutional communication regarding the tanker explosion and subsequent bridge collapse
SRC0013;B18.08.02;News;ANSA;Snodo A1-A14 fondamentale, ci vorrà tempo a riaprirlo;https://www.ansa.it/sito/notizie/cronaca/2018/08/06/snodo-a1-a14-fondamentale-ci-vorra-tempo-a-riaprirlo_06db3bdc-e6a5-4001-838b-7754c2151baa.html;2018-08-06;2026-05-06;IT;ANSA coverage discussing the collapse consequences and motorway disruption after the explosion
SRC0014;B18.08.02;Scientific;Journal Paper;Bridge collapses in Italy across the 21st century: survey and statistical analysis;https://doi.org/10.1080/15732479.2025.2483500;2025-01-01;2026-05-06;EN;Peer-reviewed paper including Morandi Bridge case
SRC0015;B25.07.01;News;ANSA;Frane in val Passiria, fango invade la statale nessun ferito;ANSA article;2025-07-24;2026-05-18;IT;National news source confirming severe flood event and infrastructure disruption in Val Passiria.
SRC0016;B25.07.01;News;Il Fatto Quotidiano;Alluvione in Alto Adige, frane e smottamenti in Val Passiria: i danni visti dal drone;Il Fatto Quotidiano video article;2025-07-24;2026-05-18;IT;Visual evidence showing bridge swept away by flood and debris flow near San Martino in Passiria.
SRC0017;B25.07.01;News;La7;Val Passiria, piena del fiume travolge un ponte a Neuhaus;La7 video report;2025-07-24;2026-05-18;IT;Video evidence explicitly reporting bridge destruction caused by flood event in Neuhaus area.
SRC0018;B25.07.01;News;Rai News;Maltempo in Alto Adige, la statale della Val Passiria interrotta da una frana;RaiNews video service;2025-07-24;2026-05-18;IT;Video footage documenting debris flow and bridge swept away during flash flood event.
SRC0019;B25.04.02;News;ANSA;Maltempo in Veneto, crollato il ponte dei Nori a Valdagno: 2 vittime;https://www.ansa.it/sito/notizie/cronaca/2025/04/18/padre-e-figlio-inghiottiti-da-una-voragine-nel-vicentino-recuperati-i-due-corpi_b8027828-04b4-440e-aab1-92e323364a69.html;2025-04-18;2026-05-18;IT;National news report confirming collapse of Ponte dei Nori over the Agno stream during severe flooding event causing two fatalities.
SRC0020;B25.04.02;News;Rai News;Valdagno, padre e figlio inghiottiti con l'auto nella voragine del ponte dei Nori;https://www.rainews.it/tgr/veneto/articoli/2025/04/dispersi-maltempo-torrente-valdagno-agno-vicenza-automobile--bb6cbb0f-65f0-4ffe-899b-343e354c60b8.html;2025-04-18;2026-05-18;IT;Local Rai News report identifying the collapsed structure as Ponte dei Nori and documenting hydraulic failure conditions.
SRC0021;B25.04.02;News;Corriere del Veneto;Leone e Francesco Nardon morti a Valdagno, chi erano padre e figlio precipitati nel torrente con l'auto;https://corrieredelveneto.corriere.it/notizie/vicenza/cronaca/25_aprile_18/leone-e-francesco-nardon-morti-a-valdagno-chi-erano-padre-e-figlio-precipitati-nel-torrente-con-l-auto-avevano-un-azienda-nel-1a901374-a03e-499a-a29d-969fed3b9xlk.shtml;2025-04-18;2026-05-18;IT;Detailed reconstruction of collapse sequence based on surveillance footage and emergency response information.
SRC0022;B25.04.02;News;Virgilio Notizie;Padre e figlio morti a Valdagno nella voragine: inchiesta per omicidio colposo dopo il crollo del ponte;https://www.virgilio.it/notizie/padre-e-figlio-morti-a-valdagno-nella-voragine-inchiesta-per-omicidio-colposo-dopo-il-crollo-del-ponte-1674286;2025-04-19;2026-05-18;IT;Article discussing judicial investigation and historical information regarding previous hydraulic collapse of the bridge in 1905.
SRC0023;B25.04.02;News;Gazzetta;Ponte crollato in Veneto: auto cade nella voragine, due morti a Valdagno;https://www.gazzetta.it/Motori/18-04-2025/ponte-crollato-in-veneto-auto-cade-nella-voragine-due-morti-a-valdagno.shtml;2025-04-18;2026-05-18;IT;Additional national coverage including details about bridge condition and hydraulic context.
SRC0024;B25.04.01;News;ANSA;Maltempo in Piemonte, crolla ponte nel Biellese;https://www.ansa.it/piemonte/notizie/2025/04/17/maltempo-in-piemonte-crolla-un-ponte-nel-biellese_0d4f4d68-6d9b-4b73-92a0-6a4ef7a56d5d.html;2025-04-17;2026-05-18;IT;National news source confirming hydraulic collapse of municipal bridge near Mongrado during severe weather event.
SRC0025;B25.04.01;News;Rai News;Il Piemonte chiede lo stato di emergenza, altissimo il rischio valanghe;https://www.rainews.it/tgr/piemonte/maratona/2025/04/maltempo-esonda-lelvo-a-biella-cancellati-tutti-i-treni-2ba98bde-52a9-46ff-abf0-d3f23d34429f.html;2025-04-17;2026-05-18;IT;Regional Rai News report including images and details regarding collapse dynamics and flooding conditions.
SRC0026;B25.04.01;News;La Stampa;Maltempo, un ponte crollato sull’Elvo e trenta persone sfollate nel Biellese sotto il diluvio;https://www.lastampa.it/biella/2025/04/18/news/maltempo_un_ponte_crollato_sull_elvo_e_trenta_persone_sfollate_nel_biellese_sotto_il_diluvio-15107747/;2025-04-18;2026-05-18;IT;Local reconstruction of collapse event caused by intense hydraulic loading and river flooding.
SRC0027;B24.10.02;News;ANSA;Maltempo, crollato ponte stradale nel catanzarese;https://www.ansa.it/calabria/notizie/2024/10/21/maltempo-crollato-ponte-stradale-nel-catanzarese_e1e1d2dc-6ec3-4edd-81f8-375c714a62bd.html;2024-10-21;2026-05-18;IT;National news report confirming collapse of bridge caused by severe flooding conditions in the Catanzaro area.
SRC0028;B24.10.02;News;Rai News;Crolla un ponte stradale a San Pietro a Maida, le immagini dal drone;https://www.rainews.it/video/2024/10/calabria-crolla-un-ponte-a-san-pietro-a-maida-le-immagini-dal-drone-238adbc8-c242-401c-9c6e-e5475245ef94.html;2024-10-21;2026-05-18;IT;Regional Rai News report documenting hydraulic collapse following intense rainfall event.
SRC0029;B24.10.02;News;Il Sole 24 ORE;Maltempo in Calabria, ponte crolla dopo l'esondazione di un torrente;https://stream24.ilsole24ore.com/video/italia/maltempo-calabria-ponte-crolla-l-esondazione-un-torrente/AGY0YSg;2024-10-21;2026-05-18;IT;Local news source with additional geographic and visual details regarding bridge collapse event.
SRC0030;B24.09.01;News;Sky TG24;Allerta meteo per maltempo in Piemonte, crolla un ponte nel Torinese;https://tg24.sky.it/cronaca/2024/09/05/piemonte-maltempo-torino-video;2024-09-05;2026-05-18;IT;Regional Rai News report documenting collapse dynamics and hydraulic conditions affecting the area.
SRC0031;B24.09.01;Official/Technical;Protezione Civile;Evento meteo-idrologico 05 settembre 2024;https://www.regione.piemonte.it/web/media/44310/download;2024-09-30;2026-05-18;IT;Official regional civil protection bulletin documenting severe flooding and infrastructure disruption.
SRC0032;B24.09.01;News;Il Sole 24 ORE;Maltempo, crolla un ponte nel Torinese: frazioni isolate in Val Susa;https://stream24.ilsole24ore.com/video/italia/maltempo-crolla-ponte-torinese-frazioni-isolate-val-susa/AFwe6rjD;2024-09-05;2026-05-18;IT;Local news source with additional visual documentation and local geographic details regarding the bridge collapse.
SRC0033;B24.05.03;News;ANSA;Maltempo: ponte spazzato via da torrente, nessun ferito;https://www.ansa.it/sito/notizie/cronaca/2024/05/16/maltempo-ponte-spazzato-via-da-torrente-nessun-ferito_a16e6b53-226c-49d4-a1f1-5d0752a0a5ca.html;2024-05-16;2026-05-18;IT;National news report confirming bridge collapse caused by severe flooding conditions in the Malo area.
SRC0034;B24.05.03;News;Rai News;Malo, il maltempo fa crollare un ponte: il video del disastro e dei soccorsi;https://www.rainews.it/tgr/veneto/video/2024/05/malo-il-maltempo-fa-crollare-un-ponte-il-video-del-disastro---ac85807f-ccf4-4b15-b82f-ec51b1c6c58d.html;2024-05-16;2026-05-18;IT;Regional Rai News report documenting hydraulic collapse following intense rainfall and stream flooding.
SRC0035;B24.05.03;News;Il Giornale di Vicenza;Malo, crollati due ponti. Situazione devastante a Castelnovo. A Villaverla cede l'argine del Timonchio;https://www.ilgiornaledivicenza.it/territorio-vicentino/schio/maltempo-alto-vicentino-malo-castelnovo-16-maggio-news-1.10708648;2024-05-16;2026-05-18;IT;Local news source providing additional geographic and visual details regarding the bridge collapse event.
SRC0036;B24.05.02;News;Prima Monza;A Cavenago cede un ponte per la piena del torrente Pisanegra;https://primamonza.it/cronaca/a-cavenago-cede-un-ponte-per-la-piena-del-torrente-pisanegra/;2024-05-15;2026-05-18;IT;Local news source with additional visual documentation and local geographic details regarding the collapse event.
SRC0037;B24.05.02;News;MonzaToday;Emergenza maltempo in Brianza, a Cavenago cede il ponte sul torrente;https://www.monzatoday.it/meteo/crolla-ponte-cavenago-pisanegra.html;2024-05-15;2026-05-18;IT;Local news source with additional visual documentation and local geographic details regarding the collapse event.
SRC0038;B24.05.01;News;Rai News;Appennino forlivese, crolla ponte già danneggiato dall'alluvione;https://www.rainews.it/tgr/emiliaromagna/articoli/2024/05/appennino-forlivese-crolla-ponte-gia-danneggiato-dallalluvione-3e984f0a-a3a1-4f3f-b4a2-d48a43f76fd3.html;2024-05-02;2026-05-18;IT;Regional Rai News report documenting landslide-related collapse and local geomorphological conditions.
SRC0039;B24.05.01;News;Corriere Romagna;Santa Sofia, crolla il ponte sul Bidente a Poggiolo;https://www.corriereromagna.it/santa-sofia/santa-sofia-crolla-il-ponte-sul-bidente-a-poggiolo-AL728174;2024-05-02;2026-05-18;IT;Local news source providing additional geographic and visual details regarding the collapse event.
SRC0040;B23.11.02;News;La Nazione;Le vittime del disastro: Antonino e Teresa travolti senza scampo;La Nazione article;2023-11-04;2026-05-18;IT;Local news article explicitly reporting collapse of the small bridge crossed by the victims’ vehicle during the flood event near Lamporecchio.
SRC0041;B23.11.02;News;Rai News;Straripa un fosso, travolge l'auto, muoiono marito e moglie;Rai News article;2023-11-03;2026-05-18;IT;Regional Rai News video report documenting hydraulic conditions, roadway collapse, and vehicle swept away by flooding near Lamporecchio.
SRC0042;B23.11.02;News;La Nazione;Marito e moglie travolti da acqua e fango: il corpo dell'uomo trovato a 3 km dall'auto;La Nazione article 2;2023-11-03;2026-05-18;IT;Reconstruction of the flood event and hydraulic collapse conditions affecting the crossing infrastructure between Lamporecchio and Vinci.
SRC0043;B23.11.02;News;La7;Toscana: chi sono le vittime e i dispersi dell'alluvione;La7 article;2023-11-03;2026-05-18;IT;National coverage documenting the flood-related collapse and fatalities associated with the Lamporecchio event.
SRC0044;B23.11.01;News;La Nazione;Alluvione in Val di Bisenzio, danni enormi anche a Vaiano;https://www.lanazione.it/prato/cronaca/alluvione-valbisenzio-2-novembre-nje3k84j;2024-01-11;2026-05-18;IT;Detailed reconstruction of flood impacts in the Bisenzio valley, including collapse and severe damage to local pedestrian infrastructure.
SRC0045;B23.11.01;News;Notizie di Prato;Alluvione, la conta dei danni in Val di Bisenzio;https://www.notiziediprato.it/cronaca/alluvione-la-conta-dei-danni-in-val-di-bisenzio-solo-a-vaiano-un-milione-e-400mila-euro/;2023-11-15;2026-05-18;IT;Local report documenting infrastructure damage and flood consequences in Vaiano after the Bisenzio flood event.
SRC0046;B23.11.01;Official/Technical;CIRF;Alcune considerazioni sull’alluvione in Toscana di novembre 2023;https://www.cirf.org/alcune-considerazioni-alluvione-in-toscana-di-novembre-2023/;2023-11-14;2026-05-18;IT;Technical discussion regarding hydraulic dynamics and flood impacts affecting the Bisenzio basin during the November 2023 Tuscany flood event.
SRC0047;B23.10.01;News;ANSA;Maltempo nel Parmense, crolla ponte nel comune di Terenzo;https://www.ansa.it/sito/notizie/cronaca/2023/10/30/-maltempocrollo-parziale-di-un-ponte-sul-taro-nel-parmense-_459721f9-170a-493b-a148-845d28841d5d.html;2023-10-30;2026-05-18;IT;National news report confirming hydraulic bridge collapse caused by severe rainfall event in the Parma province area.
SRC0048;B23.10.01;News;Rai News;Le frane minacciano l'appennino. Poco fa il passaggio della piena a Colorno;https://www.rainews.it/tgr/emiliaromagna/articoli/2023/10/maltempo-crolla-il-ponte-di-ozzanello-nel-parmense-0b97e22d-c0e4-42c6-a3d9-5089f8160b46.html;2023-10-30;2026-05-18;IT;Regional Rai News report documenting hydraulic collapse and flooding conditions affecting the Terenzo area.
SRC0049;B23.10.01;News;La Repubblica;Maltempo nel parmense, frane e allagamenti. Crolla un ponte fra Terenzo e Fornovo. A Parma e Colorno passata la piena;https://parma.bologna.repubblica.it/cronaca/2023/10/30/news/pioggia_incessante_nel_parmense_massima_allerta_in_appennino-419158201/;2023-10-30;2026-05-18;IT;Local news source providing additional visual documentation and geographic details regarding the collapse event.
SRC0050;B23.09.01;News;Rai News;Crolla ponte ciclopedonale sul Senio: fatali le prove di carico;https://www.rainews.it/video/2023/09/crolla-ponte-ciclopedonale-sul-senio-fatali-le-prove-di-carico-era-gia-stato-aperto-al-pubblico-f8e5fca2-6b03-4ddf-a4bb-bf782f0ba229.html;2023-09-08;2026-05-18;IT;National video report documenting collapse during load testing and discussing structural deficiencies associated with the pedestrian bridge.
SRC0051;B23.09.01;News;La Repubblica;Riolo Terme, ponte ciclopedonale crolla durante il collaudo;https://bologna.repubblica.it/cronaca/2023/09/08/news/riolo_terme_ponte_ciclopedonale_crolla_durante_il_collaudo-413740522/;2023-09-08;2026-05-18;IT;National news article documenting collapse dynamics and prior public use of the bridge before official testing.
SRC0052;B23.09.01;News;Ravenna e Dintorni;Riolo Terme, il nuovo ponte pedonale sul Senio crolla durante il collaudo;https://www.ravennaedintorni.it/cronaca/2023/09/08/riolo-terme-passerella-pedonale-crolla-collaudo/;2023-09-08;2026-05-18;IT;Local news source providing technical details regarding the load test and structural configuration of the pedestrian bridge.
SRC0053;B23.09.01;Scientific;Ingenio;Imparare dagli errori: la complessa vicenda della passerella di Borgo Rivola;https://www.ingenio-web.it/articoli/imparare-dagli-errori-la-complessa-vicenda-della-passerella-di-borgo-rivola/;2024-07-24;2026-05-18;IT;Technical engineering analysis discussing structural configuration, collapse mechanisms, and design aspects of the Borgo Rivola pedestrian bridge.
SRC0054;B23.07.01;News;La Nazione;Coltano, camion urta un cavalcavia: calcinacci caduti sopra un’auto;https://www.lanazione.it/pisa/cronaca/aurelia-coltano-kjpwb4xo;2023-07-27;2026-05-18;IT;Local news report documenting partial collapse and debris fall caused by impact from an overheight heavy vehicle on the SP58 overpass.
SRC0055;B23.07.01;News;Il Tirreno;Pisa, camionista calcola male le misure: l’urto nel cavalcavia fa cadere calcinacci;https://www.iltirreno.it/pisa/cronaca/2023/07/27/news/pisa-camionista-calcola-male-le-misure-l-urto-nel-cavalcavia-fa-cadere-calcinacci-1.100353003;2023-07-27;2026-05-18;IT;Detailed reconstruction of the vehicle impact sequence and resulting structural damage to the overpass.
SRC0056;B23.07.01;Official/Technical;ANAS;Camion finisce contro cavalcavia: chiusa Aurelia a Coltano;https://www.gonews.it/2023/07/27/camion-finisce-contro-cavalcavia-chiusa-aurelia-a-coltano/;2023-07-27;2026-05-18;IT;Article reporting official ANAS statements regarding emergency traffic management and infrastructure inspections after the impact event.
SRC0057;B23.10.01;News;Gazzetta di Parma;Maltempo nel Parmense, crolla ponte a Terenzo;https://www.gazzettadiparma.it/;2023-10-30;2026-05-18;IT;Local news coverage documenting collapse of bridge infrastructure following severe flooding conditions in the Terenzo area.
SRC0058;B23.10.01;News;Rai News;Maltempo in Emilia-Romagna, danni e criticità nel Parmense;https://www.rainews.it/tgr/emiliaromagna/;2023-10-30;2026-05-18;IT;Regional coverage regarding hydraulic instability and infrastructure damage in the Parma Apennines.
SRC0059;B23.10.01;Official/Technical;Protezione Civile;Bollettini criticità idraulica Emilia-Romagna ottobre 2023;https://protezionecivile.regione.emilia-romagna.it/;2023-10-30;2026-05-18;IT;Official regional civil protection documentation regarding hydraulic and hydrogeological criticalities affecting the area.
SRC0060;B23.05.05;News;Sky TG24;Voci da Modigliana, il paese isolato dalle frane causate dall’alluvione;https://tg24.sky.it/cronaca/2023/05/19/frane-modigliana-alluvione;2023-05-19;2026-05-18;IT;National news report documenting isolation of Modigliana and collapse of local bridge infrastructure during the Emilia-Romagna flood event.
SRC0061;B23.05.05;News;Il Piccolo;Maltempo, Modigliana è in ginocchio;https://ilpiccolo.org/ilpiccolo/2023/05/modigliana-in-ginocchio-maltempo/;2023-05-17;2026-05-18;IT;Local news source explicitly reporting collapse of the bridge in the Ca’ Stronchino area following severe flooding and slope instability.
SRC0062;B23.05.05;News;Il Resto del Carlino;Alluvione Emilia Romagna, il ponte di Ca' Stronchino ancora come un anno fa;https://www.ilrestodelcarlino.it/cronaca/speciale-alluvione/alluvione-emilia-romagna-ponte-ca-stronchino-modigliana-x06hwx71;2024-05-14;2026-05-18;IT;Retrospective article documenting collapse mechanisms, reconstruction status, and hydraulic forces responsible for the destruction of the Ca’ Stronchino bridge.
SRC0063;B23.05.05;News;TGCom24;Modigliana, un anno dopo ancora inagibile il ponte crollato durante l’alluvione in Emilia-Romagna;https://mediasetinfinity.mediaset.it/video/tgcom24/modigliana-un-anno-dopo-ancora-inagibile-il-ponte-crollato-durante-lalluvione-in-emilia-romagna_FD00000000428713;2024-05-14;2026-05-18;IT;Video report showing persistent damage and remaining structural conditions one year after the collapse event.
SRC0064;B23.05.04;News;Ravenna e Dintorni;Ponte crollato a Ravenna, azienda isolata: «Servono 50mila euro per quello provvisorio»;https://www.ravennaedintorni.it/economia/2023/06/05/azienda-agricola-ridolfi-isolata-crollo-ponte/;2023-06-05;2026-05-18;IT;Local news report explicitly documenting collapse of the bridge on Via del Dottore over the Fosso Ghiaia canal in the Gambellara area.
SRC0065;B23.05.04;Official/Technical;Regione Emilia-Romagna;Ricostruzione post alluvione;https://notizie.regione.emilia-romagna.it/comunicati/2025/ricostruzione-post-alluvione-il-rifacimento-del-ponte-della-motta-sull2019idice-crollato-a-maggio-2023-il-consolidamento-degli-argini-sul-lamone-a-villanova-di-bagnacavallo-gli-interventi-contro-le-frane-in-corso-a-casola-valsenio-sempre-nel-ravennate-la;2023-04-05;2026-05-18;IT;Official regional documentation regarding hydraulic damage and infrastructure disruption during the 2023 flood emergency.
SRC0066;B23.05.03;News;La Repubblica;Alluvione in Emilia, l'acqua distrugge il ponte a Prada;https://www.repubblica.it/cronaca/2023/05/18/video/alluvione_in_emilia_lacqua_distrugge_il_ponte_a_prada_le_immagini_dallalto-422488135/;2023-05-18;2026-05-18;IT;Local news source explicitly reporting collapse of the bridge in the Prada area following severe flooding
SRC0067;B23.05.03;News;3B Meteo;Cronaca meteo - Prada (RA), ponte crollato: le immagini dal drone;https://www.3bmeteo.com/giornale-meteo/cronaca-meteo---prada--ra---ponte-crollato--le-immagini-dal-drone---video-690054;2023-05-19;2026-05-18;IT;Local news source explicitly reporting collapse of the bridge in the Prada area following severe flooding
SRC0068;B23.05.03;Official/Technical;Regione Emilia-Romagna;Ricostruzione post alluvione;https://notizie.regione.emilia-romagna.it/comunicati/2025/ricostruzione-post-alluvione-il-rifacimento-del-ponte-della-motta-sull2019idice-crollato-a-maggio-2023-il-consolidamento-degli-argini-sul-lamone-a-villanova-di-bagnacavallo-gli-interventi-contro-le-frane-in-corso-a-casola-valsenio-sempre-nel-ravennate-la;2023-04-05;2026-05-18;IT;Official regional documentation regarding hydraulic damage and infrastructure disruption during the 2023 flood emergency.
SRC0069;B23.05.02;News;Rai News;Crollato ponte della Motta nel Bolognese: le immagini dal drone;https://www.rainews.it/video/2023/05/crollato-ponte-motta-bolognese-immagini-drone-5a34a431-71ec-4ed7-b1ca-16637f78dbd3.html;2023-05-17;2026-05-18;IT;Video report documenting the total collapse of Ponte della Motta over the Idice river following extreme hydraulic loading during the Emilia-Romagna flood event.
SRC0070;B23.05.02;News;La Stampa;Crollato ponte nel Bolognese: attraversava il fiume Idice nelle vicinanze di Budrio;https://www.lastampa.it/cronaca/2023/05/17/video/crollato_ponte_nel_bolognese_attraversava_il_fiume_indice_nelle_vicinanze_di_budrio-12810580/;2023-05-17;2026-05-18;IT;National news coverage documenting collapse of the bridge near Budrio caused by severe flooding of the Idice river.
SRC0071;B23.05.02;Official/Technical;Regione Emilia-Romagna;Ricostruzione post alluvione;https://notizie.regione.emilia-romagna.it/comunicati/2025/ricostruzione-post-alluvione-il-rifacimento-del-ponte-della-motta-sull2019idice-crollato-a-maggio-2023-il-consolidamento-degli-argini-sul-lamone-a-villanova-di-bagnacavallo-gli-interventi-contro-le-frane-in-corso-a-casola-valsenio-sempre-nel-ravennate-la;2023-04-05;2026-05-18;IT;Official regional documentation regarding hydraulic damage and infrastructure disruption during the 2023 flood emergency.
SRC0072;B24.06.01;Official/Technical;Protezione Civile;Rapporto di fine evento – Alluvione del 29 giugno 2024;https://cf.regione.vda.it/cf_scripts/archive/it/06_Rapporti-di-fine-evento/rapporto-evento-2024-06-29-alluvione.pdf;2024-06-29;2026-05-18;IT;Official post-event technical report documenting hydraulic phenomena, debris flows, infrastructure failures, and isolation of the Cogne valley following the June 2024 flood event.
SRC0073;B24.06.01;News;Sky TG24;Maltempo Valle d'Aosta, torrenti esondano a Cogne: paese isolato;https://tg24.sky.it/cronaca/2024/06/29/maltempo-cogne-allerta-frana-paese-isolato;2024-06-29;2026-05-18;IT;National news coverage documenting overflow of the Grand Eyvia stream, debris flows, and collapse of access infrastructure affecting Cogne.
SRC0074;B24.06.01;News;Rai News;I temporali flagellano il Nord Est: torrenti esondati e paesi isolati;https://www.rainews.it/maratona/2024/06/i-temporali-flagellano-il-nord-est-torrenti-esondati-e-paesi-isolati-frane-strade-chiusemaltempo-1fa697f6-8251-4fba-a6e7-227c74d5586a.html;2024-06-29;2026-05-18;IT;National coverage documenting severe flooding, landslides, and collapse of transport infrastructure in the Cogne valley during the June 2024 storm event.
SRC0075;B24.10.02;News;Il Resto del Carlino;Crollo del ponte sul torrente: famiglie isolate nel Bolognese;https://www.ilrestodelcarlino.it/bologna/cronaca/crollo-del-ponte-sul-torrente-aeeec7c9;2024-10-20;2026-05-18;IT;Local news report documenting collapse of the bridge structure and resulting isolation of nearby residents following severe flooding conditions.
SRC0076;B24.10.02;News;BolognaToday;Esercito e soccorsi per le famiglie isolate a Sasso Marconi dopo l’alluvione;https://www.bolognatoday.it/cronaca/esercito-alluvione-famiglie-isolate-sasso-marconi.html;2024-10-20;2026-05-18;IT;Local news coverage documenting hydraulic emergency conditions, infrastructure disruption, and emergency response activities in the Sasso Marconi area.
SRC0077;B24.10.03;News;Rai News;Piena della Bormida, il ponte danneggiato di Carcare ripreso dal drone;https://www.rainews.it/video/2024/10/piena-bormida-il-ponte-danneggiato-di-carcare-ripreso-dal-drone-92237bb3-8440-4597-b0c3-9f800f328934.html;2024-10-27;2026-05-18;IT;Drone footage documenting severe hydraulic damage and partial structural collapse of the cycle-pedestrian bridge over the Bormida river during the flood event.
SRC0078;B24.10.03;News;IVG;Maltempo, Carcare flagellata dalla pioggia: passerella spezzata in due, frane e autorimesse allagate;https://www.ivg.it/2024/10/maltempo-carcare-flagellata-dalla-pioggia-passerella-spezzata-in-due-frane-e-autorimesse-allagate/;2024-10-27;2026-05-18;IT;Local news report documenting hydraulic failure of the cycle-pedestrian bridge and widespread flood damage in the Carcare area.
SRC0079;B26.04.01;News;Sky TG24;Molise, continua ricerca del disperso nel crollo del ponte sul Trigno;https://tg24.sky.it/cronaca/2026/04/05/disperso-crollo-ponte-fiume-trigno;2026-04-05;2026-05-19;IT;National coverage documenting partial collapse of the SS16 bridge over the Trigno river and ongoing search operations for the missing driver.
SRC0080;B26.04.01;Official/Technical;Vigili del Fuoco;Maltempo Campobasso, crollo ponte su SS16: i vigili del fuoco proseguono nelle ricerche di possibili dispersi;https://www.vigilfuoco.tv/molise/campobasso/montenero-di-bisaccia/maltempo-campobasso-crollo-ponte-su-ss16-i-vigili-del-fuoco;2026-04-03;2026-05-19;IT;Official emergency response report documenting collapse conditions, hydraulic emergency, and technical rescue activities along the Trigno river corridor.
SRC0081;B26.04.01;News;ANSA;Il maltempo sferza il Centro-Sud: crollato il ponte sul Trigno;https://www.ansa.it/sito/notizie/cronaca/2026/04/02/il-maltempo-sferza-il-centro-sud-la-giornata-regione-per-regione_b4e49fb5-4485-4489-84f3-42eaee680148.html;2026-04-02;2026-05-19;IT;National news coverage documenting collapse of the bridge along the SS16 Adriatica during severe flood conditions affecting Molise.
