event_id;event_slug;date;municipality;province;region;latitude;longitude;bridge_crossing_type;bridge_crossing_name;destination_use;collapse_severity;victims;injuries;triggered;cause_category;specific_cause;source_confidence;exact_location;bridge_name;structural_type;material_type;construction_year;curation_level;description
B00.10.10;chialamberto-2000-2;2000-10-13;Chialamberto;Torino;Piemonte;45.3626772288527;7.34517738330256;waterway;Stura di Valgrande stream;Provincial/Regional;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Stura di Valgrande near Chialamberto (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.11;pinerolo-2000-1;2000-10-13;Pinerolo;Torino;Piemonte;44.8674241589211;7.3347469256552;waterway;Chisone stream;Provincial/Regional;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.12;pinerolo-2000-2;2000-10-13;Pinerolo;Torino;Piemonte;44.8749;7.3105;waterway;Chisone stream;Provincial/Regional;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone (second bridge) area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.13;pinerolo-2000-3;2000-10-13;Pinerolo;Torino;Piemonte;44.8853074510205;7.28264930626527;waterway;Chisone stream;Railway;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a railway bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone railway area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.14;giaveno-2000;2000-10-13;Giaveno;Torino;Piemonte;45.0241;7.355;waterway;Sangone stream;Provincial/Regional;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Sangone stream near Giaveno (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Sangone area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.15;castellamonte-2000;2000-10-13;Castellamonte;Torino;Piemonte;45.3590443263878;7.71108119476556;waterway;Orco stream;National;TC;1;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national road bridge (SS460) over the Orco stream near Castellamonte (Torino, Piemonte) on 13 October 2000, during the catastrophic alluvione. One person was killed at this specific bridge collapse. Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.16;noasca-2000-1;2000-10-13;Noasca;Torino;Piemonte;45.454;7.314;waterway;Orco stream;National;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Orco stream near Noasca (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Orco area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.17;robassomero-2000;2000-10-13;Robassomero;Torino;Piemonte;45.2043;7.5724;waterway;Stura di Lanzo stream;Provincial/Regional;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Stura di Lanzo near Robassomero (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Stura di Lanzo plain area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.18;salassa-2000;2000-10-13;Salassa;Torino;Piemonte;45.3592;7.7117;waterway;Orco stream;National;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Orco stream near Salassa (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS460 area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.19;settimo-vittone-2000;2000-10-13;Settimo Vittone;Ivrea;Piemonte;45.5383;7.8335;waterway;Dora Baltea river;Railway;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Truss;Steel;;Standard;Total collapse of a railway bridge over the Dora Baltea river near Settimo Vittone (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Ivrea-Aosta railway area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.20;paesana-2000;2000-10-13;Paesana;Cuneo;Piemonte;44.6824;7.2653;waterway;Po river;Provincial/Regional;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Po river near Paesana (Cuneo) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (upper Po valley area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.21;bardonecchia-2000;2000-10-13;Bardonecchia;Torino;Piemonte;45.0786;6.7105;waterway;Bora di Bardonecchia river;National;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Bora di Bardonecchia near Bardonecchia (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS335 area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.22;bussoleno-2000-1;2000-10-13;Bussoleno;Torino;Piemonte;45.1382;7.1432;waterway;Dora Riparia river;National;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Dora Riparia near Bussoleno (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS25 Val Susa area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.23;bussoleno-2000-2;2000-10-13;Bussoleno;Torino;Piemonte;45.1281;7.1635;waterway;Dora Riparia river;Municipal;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a municipal bridge over the Dora Riparia near Bussoleno (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Susa area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.24;chialamberto-2000-3;2000-10-13;Chialamberto;Torino;Piemonte;45.3624;7.3422;waterway;Stura di Lanzo stream;Municipal;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a municipal bridge over the Stura di Lanzo near Chialamberto (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.25;san-colombano-2000;2000-10-13;San Colombano;Torino;Piemonte;45.1023290659492;6.91276980813103;waterway;Rio Galambra;National;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Rio Galambra near San Colombano (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Canavese area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.26;fenestrelle-2000;2000-10-13;Fenestrelle;Torino;Piemonte;45.0375;7.0441;waterway;Chisone stream;National;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a national bridge over the Chisone stream near Fenestrelle (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS23 area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.27;bonzo-2000;2000-10-13;Bonzo;Torino;Piemonte;45.3674;7.3014;waterway;Stura di Lanzo stream;Municipal;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a municipal bridge over the Stura di Lanzo near Bonzo (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.28;locana-2000;2000-10-13;Locana;Torino;Piemonte;45.4065;7.5034;waterway;Orco stream;Cycle-pedestrian;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a cycle-pedestrian bridge over the Orco stream near Locana (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Orco area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.29;noasca-2000-2;2000-10-13;Noasca;Torino;Piemonte;45.4317;7.3668;waterway;Orco stream;Provincial/Regional;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Orco stream near Noasca (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Orco area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.30;inverso-pinasca-2000;2000-10-13;Inverso Pinasca;Torino;Piemonte;44.9429;7.2215;waterway;Chisone stream;Provincial/Regional;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Chisone stream near Inverso Pinasca (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.31;san-germano-chisone-2000-1;2000-10-13;San Germano Chisone;Torino;Piemonte;44.8674;7.3348;waterway;Chisone stream;Railway;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Truss;Steel;;Standard;Total collapse of a railway bridge over the Chisone stream near San Germano Chisone (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone railway area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.32;pont-canavese-2000-1;2000-10-13;Pont Canavese;Torino;Piemonte;45.4149;7.6132;waterway;Orco stream;Railway;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Truss;Steel;;Standard;Total collapse of a railway bridge over the Orco stream near Pont Canavese (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Pont Canavese railway area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.33;pont-canavese-2000-2;2000-10-13;Pont Canavese;Torino;Piemonte;45.4178;7.5639;waterway;Orco stream;Municipal;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a municipal bridge over the Orco stream near Pont Canavese (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Pont Canavese area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.34;porte-2000;2000-10-13;Porte;Torino;Piemonte;44.8897;7.26;waterway;Chisone stream;Provincial/Regional;PC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a provincial bridge over the Chisone stream near Porte (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
B00.10.35;san-benigno-canavese-2000;2000-10-13;San Benigno Canavese;Torino;Piemonte;45.2412;7.8103;waterway;Orco stream;Motorway;TC;0;0;TRUE;Natural;Hydraulic;High;TRUE;;Beam bridge;Reinforced concrete;;Standard;Total collapse of a motorway bridge over the Orco stream near San Benigno Canavese (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (A4 Torino-Milano area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse.
