"event_id","event_slug","date","municipality","province","province_code","province_key","province_raw","province_validation_status","region","latitude","longitude","bridge_crossing_type","bridge_crossing_name","destination_use","collapse_severity","victims","injuries","triggered","cause_category","specific_cause","failure_trigger","failure_process","component_involved","failure_cause_evidence","hydraulic_intelligence","source_confidence","exact_location","bridge_name","structural_type","material_type","construction_year","construction_year_numeric","construction_year_raw","curation_level","description"
"IT00.10.10","chialamberto-2000-2","2000-10-13","Chialamberto","Torino","201","torino","Torino","validated","Piemonte","45.3626772288527","7.34517738330256","waterway","Stura di Valgrande stream","Provincial/Regional","TC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a provincial bridge over the Stura di Valgrande near Chialamberto (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Grande di Lanzo area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Piena documentata; meccanismo di dettaglio non ricostruibile dalle fonti disponibili."
"IT00.10.11","pinerolo-2000-1","2000-10-13","Pinerolo","Torino","201","torino","Torino","validated","Piemonte","44.8674241589211","7.3347469256552","waterway","Chisone stream","Provincial/Regional","TC","0","0","true","Natural","Hydraulic","Flood","Overtopping / hydrodynamic action","","Probable","{""trigger"":""flood"",""failure_process"":""overtopping_or_hydrodynamic_action"",""component_involved"":null,""evidence_level"":""probable"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a provincial bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Monografia 'Eventi alluvionali in Piemonte 2000-2002' (Regione Piemonte/ARPA, 2003): i ponti affiancati (stradale e ferroviario) di via Saluzzo a Pinerolo furono entrambi danneggiati in modo irreparabile; il restringimento d'alveo da essi causato costitui' un significativo ostacolo al deflusso, concorrendo alla sommersione della zona Ponte Chisone. Meccanismo di dettaglio del manufatto stradale non specificato."
"IT00.10.12","pinerolo-2000-2","2000-10-13","Pinerolo","Torino","201","torino","Torino","validated","Piemonte","44.8749","7.3105","waterway","Chisone stream","Provincial/Regional","PC","0","0","true","Natural","Hydraulic","Flood","Bank erosion / embankment failure","Abutment","Documented","{""trigger"":""flood"",""failure_process"":""bank_erosion_or_embankment_failure"",""component_involved"":""abutment"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Partial collapse of a provincial bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone (second bridge) area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Monografia 'Eventi alluvionali in Piemonte 2000-2002' (Regione Piemonte/ARPA, 2003): asportata la spalla sinistra del ponte di Miradolo sul Chisone; il ponte, di antico impianto, risulta tra quelli distrutti dall'evento. Conferma quanto gia' indicato dal rapporto d'evento 2001."
"IT00.10.13","pinerolo-2000-3","2000-10-13","Pinerolo","Torino","201","torino","Torino","validated","Piemonte","44.8853074510205","7.28264930626527","waterway","Chisone stream","Railway","TC","0","0","true","Natural","Hydraulic","Flood","Scour","Pier / foundation","Probable","{""trigger"":""flood"",""failure_process"":""scour"",""component_involved"":""pier_foundation"",""evidence_level"":""probable"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a railway bridge over the Chisone stream near Pinerolo (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Val Chisone railway area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Rapporto d'evento 2001: abbattuto il ponte ferroviario Pinerolo-Torre Pellice a via Saluzzo (piena del Chisone); un passaggio attiguo attribuisce i danni 'soprattutto a erosioni lungo il fondo alveo' con 'cedimento della pila di destra per erosione di fondo' (attribuzione probabile per impaginazione). Monografia 'Eventi alluvionali in Piemonte 2000-2002' (Regione Piemonte/ARPA, 2003): conferma che il ponte ferroviario di via Saluzzo fu danneggiato in modo irreparabile, in coppia con l'attiguo ponte stradale, il cui restringimento d'alveo ostacolo' il deflusso."
"IT00.10.14","giaveno-2000","2000-10-13","Giaveno","Torino","201","torino","Torino","validated","Piemonte","45.0241","7.355","waterway","Sangone stream","Provincial/Regional","TC","0","0","true","Natural","Hydraulic","Flood","Scour","Pier / foundation","Documented","{""trigger"":""flood"",""failure_process"":""scour"",""component_involved"":""pier_foundation"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a provincial bridge over the Sangone stream near Giaveno (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Sangone area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Monografia 'Eventi alluvionali in Piemonte 2000-2002' (Regione Piemonte/ARPA, 2003): crollato alle ore 18:00 del 15/10 il ponte della SP193 Giaveno-Cumiana sul Sangone: cedettero 2 pile in corrispondenza del notevole ampliamento d'alveo in sinistra idrografica, in un tratto pluricanale a marcata instabilita' con abbondante trasporto solido."
"IT00.10.15","castellamonte-2000","2000-10-13","Castellamonte","Torino","201","torino","Torino","validated","Piemonte","45.3590443263878","7.71108119476556","waterway","Orco stream","National","TC","1","0","true","Natural","Hydraulic","Flood","Bank erosion / embankment failure","Multiple components","Documented","{""trigger"":""flood"",""failure_process"":""bank_erosion_or_embankment_failure"",""component_involved"":""multiple_components"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a national road bridge (SS460) over the Orco stream near Castellamonte (Torino, Piemonte) on 13 October 2000, during the catastrophic alluvione. One person was killed at this specific bridge collapse. Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Monografia 'Eventi alluvionali in Piemonte 2000-2002' (Regione Piemonte/ARPA, 2003): l'accentuata erosione dei terreni in sinistra dell'Orco convoglio' le acque contro la parte in rilevato del ponte della SS 'Pedemontana' a Castellamonte, portandone alla distruzione (crollo parziale la mattina di domenica 15/10, con una vittima successiva). Nota: la monografia scrive S.S.656, il rapporto 2001 S.S.565, il DB S.S.460: uniformare la denominazione."
"IT00.10.16","noasca-2000-1","2000-10-13","Noasca","Torino","201","torino","Torino","validated","Piemonte","45.454","7.314","waterway","Orco stream","National","PC","0","0","true","Natural","Hydraulic","Flood","","","Unspecified","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""unspecified"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Partial collapse of a national bridge over the Orco stream near Noasca (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Valle Orco area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Monografia 'Eventi alluvionali in Piemonte 2000-2002' (Regione Piemonte/ARPA, 2003): al 'nodo di Noasca' intensi processi di mobilizzazione del fondo alveo con forte restringimento dell'alveo danneggiarono gravemente passerella e opere di difesa; il rapporto 2001 documenta inoltre violenti processi di erosione laterale e di fondo con gravi danni alle opere di attraversamento. Meccanismo del singolo ponte non distinto."
"IT00.10.17","robassomero-2000","2000-10-13","Robassomero","Torino","201","torino","Torino","validated","Piemonte","45.2043","7.5724","waterway","Stura di Lanzo stream","Provincial/Regional","TC","0","0","true","Natural","Hydraulic","Flood","Bank erosion / embankment failure","Abutment","Documented","{""trigger"":""flood"",""failure_process"":""bank_erosion_or_embankment_failure"",""component_involved"":""abutment"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a provincial bridge over the Stura di Lanzo near Robassomero (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Stura di Lanzo plain area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Rapporto d'evento Regione Piemonte - Direzione Servizi Tecnici di Prevenzione (aprile 2001): 'Crollo del ponte sullo Stura della SP Robassomero-Cirie' per erosione in sponda destra', con crollo di un tratto dell'impalcato; a valle la stessa erosione ha messo a giorno le fondazioni di un capannone e danneggiato la centrale elettrica."
"IT00.10.18","salassa-2000","2000-10-13","Salassa","Torino","201","torino","Torino","validated","Piemonte","45.3592","7.7117","waterway","Orco stream","National","TC","0","0","true","Natural","Hydraulic","Flood","Bank erosion / embankment failure","Multiple components","Documented","{""trigger"":""flood"",""failure_process"":""bank_erosion_or_embankment_failure"",""component_involved"":""multiple_components"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a national bridge over the Orco stream near Salassa (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS460 area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Database ponti fluviali danneggiati di D'Angelo, Ballio & Ravazzani (2025), IJDRR 'Geomorphologic risk factors for river bridges', suppl. S3, record P004 (accuratezza diagnosi dec=1): processo = erosione laterale di sponda; componenti danneggiate = pile, spalle, rilevato di accesso, impalcato; evidenza di sormonto = no."
"IT00.10.19","settimo-vittone-2000","2000-10-13","Settimo Vittone","Ivrea","201","torino","Ivrea","name_mismatch_coordinates_resolved","Piemonte","45.5383","7.8335","waterway","Dora Baltea river","Railway","TC","0","0","true","Natural","Hydraulic","Flood","Overtopping / hydrodynamic action","Entire structure","Documented","{""trigger"":""flood"",""failure_process"":""overtopping_or_hydrodynamic_action"",""component_involved"":""entire_structure"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Truss","Steel","","","","Standard","Total collapse of a railway bridge over the Dora Baltea river near Settimo Vittone (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (Ivrea-Aosta railway area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Rapporto d'evento Regione Piemonte - Direzione Servizi Tecnici di Prevenzione (aprile 2001): asportato il ponte ferroviario della linea Torino-Aosta a Settimo Vittone durante l'esondazione della Dora Baltea, che ha sovrappassato la SS26 per ~1 km. [Il database Polimi (D'Angelo et al. 2025, S3, record P005, dec=1) classifica invece il processo come: erosione laterale di sponda.]"
"IT00.10.20","paesana-2000","2000-10-13","Paesana","Cuneo","4","cuneo","Cuneo","validated","Piemonte","44.6824","7.2653","waterway","Po river","Provincial/Regional","TC","0","0","true","Natural","Hydraulic","Flood","Bank erosion / embankment failure","Abutment","Documented","{""trigger"":""flood"",""failure_process"":""bank_erosion_or_embankment_failure"",""component_involved"":""abutment"",""evidence_level"":""documented"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a provincial bridge over the Po river near Paesana (Cuneo) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (upper Po valley area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Rapporto d'evento Regione Piemonte - Direzione Servizi Tecnici di Prevenzione (aprile 2001): l'erosione del Po in loc. Erasca ha asportato l'accesso al ponte in sponda sinistra e la spalla sinistra del ponte."
"IT00.10.21","bardonecchia-2000","2000-10-13","Bardonecchia","Torino","201","torino","Torino","validated","Piemonte","45.0786","6.7105","waterway","Bora di Bardonecchia river","National","TC","0","0","true","Natural","Hydraulic","Flood","Scour","Multiple components","Probable","{""trigger"":""flood"",""failure_process"":""scour"",""component_involved"":""multiple_components"",""evidence_level"":""probable"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a national bridge over the Bora di Bardonecchia near Bardonecchia (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS335 area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Rapporto d'evento Regione Piemonte - Direzione Servizi Tecnici di Prevenzione (aprile 2001): per Bardonecchia il rapporto documenta un solo ponte gravemente colpito: 'erosioni di sponda e di fondo con asportazione della pila del ponte per Millaures e di parte del rilevato di accesso' (Dora di Rochemolles). Corrispondenza con la scheda (ponte nazionale su Dora di Bardonecchia) da verificare."
"IT00.10.22","bussoleno-2000-1","2000-10-13","Bussoleno","Torino","201","torino","Torino","validated","Piemonte","45.1382","7.1432","waterway","Dora Riparia river","National","TC","0","0","true","Natural","Hydraulic","Flood","","","Needs review","{""trigger"":""flood"",""failure_process"":null,""component_involved"":null,""evidence_level"":""needs_review"",""taxonomy_version"":""hydraulic-v2""}","High","true","","Beam bridge","Reinforced concrete","","","","Standard","Total collapse of a national bridge over the Dora Riparia near Bussoleno (Torino) on 13-16 October 2000, as part of the catastrophic alluvione. Documented in the ARPA Piemonte official report (SS25 Val Susa area). Total collapse during the catastrophic alluvione of 13-16 October 2000 that struck over 50% of Piemonte, causing more than 1,800 documented damage events. The ARPA Piemonte report (2003) explicitly documents multiple bridge collapses across the Stura di Lanzo, Orco, Chisone, Dora Riparia, Dora Baltea and Po basins. The event is comparable in scale to the 1994 alluvione del Piemonte. No fatalities directly attributed to this specific collapse. Ne' il rapporto d'evento 2001 ne' la monografia 2003 documentano crolli di ponti a Bussoleno (vi si descrivono esondazioni della Dora a monte del ponte ferroviario Torino-Modane, allagamenti e colate sui versanti): riscontro mancante per questa scheda."
